;Argentina;Aruba;Australia;Austria;Bahamas;Bahrain;Belgium;Bermuda;Brazil;Bulgaria;Canada;CaymanIslands;Chile;HongKong;Macao;Colombia;CostaRica;Cyprus;Czech;Denmark;Egypt;Estonia;Finland;France;Germany;Greece;Hungary;Iceland;Indonesia;Ireland;IsleofMan;Israel;Italy;Japan;Kazakhstan;Korea;Lebanon;Luxembourg;Malaysia;Malta;Mauritius;Netherlands;NewZealand;Norway;Panama;Philippines;Poland;Portugal;Romania;Russian;Singapore;Slovak;SouthAfrica;Spain;Sweden;Switzerland;Thailand;Turkey;Ukraine;UnitedKingdom;UnitedStates;Uruguay;Vanuatu;Venezuela
Argentina;0;0;0;1;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;1;1;0;1
Aruba;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Australia;0;0;0;1;0;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;0;0;1;1;1;0;0;0;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;1;0;1;1;0;1;1;1;1;1;0;0;1;1;0;0;0
Austria;0;0;1;0;0;0;1;1;1;0;1;0;1;1;0;0;0;0;1;1;0;1;1;1;1;1;1;0;0;1;0;1;1;1;1;0;0;1;0;1;0;1;0;1;0;0;1;1;1;0;1;1;0;1;1;1;1;0;0;1;1;1;0;0
Bahamas;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;1;0;0;0
Bahrain;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0
Belgium;0;0;1;1;0;1;0;1;1;1;1;0;0;1;0;0;0;1;1;1;0;1;1;1;1;1;1;0;0;1;0;1;1;1;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0;1;1;1;0;0;0;1;1;0;0;0
Bermuda;0;0;1;1;0;0;1;0;1;0;1;0;0;1;1;0;0;0;1;1;0;0;1;1;1;0;0;0;0;1;1;0;1;1;0;1;0;1;1;0;0;1;0;1;0;0;0;0;0;1;1;0;1;1;1;1;0;0;0;1;1;0;0;0
Brazil;1;0;1;1;1;1;1;1;0;0;1;1;1;1;0;1;0;0;0;1;0;0;1;1;1;1;0;0;0;1;0;0;1;1;0;1;0;1;0;0;0;1;0;1;1;0;1;1;0;0;1;0;1;1;1;1;0;0;0;1;1;1;0;0
Bulgaria;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0
Canada;0;0;1;1;0;1;1;1;0;0;0;1;1;1;1;1;0;1;0;1;0;0;1;1;1;0;0;1;0;1;0;1;1;1;0;1;0;1;0;0;0;1;1;1;0;0;1;1;0;0;1;0;0;1;1;1;0;0;0;1;1;0;0;0
CaymanIslands;0;0;1;1;1;1;1;1;1;0;1;0;1;1;1;0;0;0;1;1;1;0;1;1;1;1;0;0;0;1;1;1;1;1;0;1;0;1;1;1;1;1;0;1;0;0;1;1;0;1;1;0;1;1;1;1;1;0;0;1;1;1;0;0
Chile;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;1;1;1;0;0;0;1;1;1;0;0
HongKong;0;0;1;1;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;1;1;0;0;0;1;1;1;1;1;1;0;1;0;1;1;0;1;1;0;1;0;1;1;0;0;0;1;0;0;1;1;1;1;0;0;1;1;0;0;0
Macao;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Colombia;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0
CostaRica;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
Cyprus;0;0;1;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;1;0;0;1;1;0;0;1;1;1;0;0;0;1;1;0;0;0
Czech;0;0;1;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;1;0;0;1;1;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;1;1;0;1;1;1;0;0;0;1;1;0;0;0
Denmark;0;0;1;1;0;0;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;1;1;0;1;1;0;1;0;1;0;0;0;1;0;1;0;0;1;1;0;0;1;1;0;1;1;1;0;0;0;1;1;0;0;0
Egypt;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;1;0;1;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;1;1;0;0;0
Estonia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0
Finland;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;1;0;1;0;1;0;1;1;0;0;0;0;1;1;0;1;1;0;1;0;1;0;0;0;1;0;1;0;0;1;1;0;0;1;1;0;1;1;1;0;0;0;1;1;0;0;0
France;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;0;1;0;1;0;0;1;1;0;1;1;1;1;1;1;1;1;0;0;1;1;0;0;1
Germany;0;0;1;1;0;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0
Greece;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;1;1;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;1;0;1;0;1;0;0;1;1;1;0;1;1;0;1;1;1;0;0;0;1;1;0;0;0
Hungary;0;0;1;1;0;0;1;0;0;1;1;0;0;1;0;0;0;0;1;1;0;0;1;1;1;1;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;1;1;0;1;1;1;0;0;0;1;1;0;0;0
Iceland;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;1;1;1;0;0;0;1;1;0;0;0
Indonesia;0;0;1;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;1;0;0;1;1;0;1;0;1;1;0;1;1;0;1;0;1;1;0;0;0;1;0;0;1;1;1;0;0;0;1;1;0;0;0
Ireland;0;0;1;1;0;0;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1;1;1;0;0;1;1;1;1;0;1;0;1;1;1;0;1;0;1;0;1;0;1;0;1;1;1;1;1;1;1;1;0;0;1;1;0;0;0
IsleofMan;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;1;0;1;1;0;1;0;0;0;1;1;0;0;0
Israel;0;0;1;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;1;1;0;1;0;1;0;0;0;1;0;1;0;0;1;0;0;0;1;0;1;1;1;1;1;0;0;1;1;0;0;0
Italy;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;1;1;1;0;1;1;1;1;1;0;0;0;1;0;1;0;1;1;1;0;1;0;1;0;1;0;1;0;0;0;1;0;0;1;1;0;1;1;1;0;0;0;1;1;0;0;0
Japan;1;0;1;1;0;1;1;1;0;0;1;0;1;1;0;1;0;0;0;1;0;0;1;1;1;0;0;0;0;1;1;1;1;0;1;1;0;1;1;0;0;1;1;1;0;0;1;1;0;0;1;0;1;1;1;1;1;0;0;1;1;0;0;0
Kazakhstan;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;1;1;0;0;0
Korea;0;0;1;1;0;1;1;1;1;0;1;1;0;1;1;0;0;0;0;1;0;0;1;1;1;0;0;0;1;1;0;0;1;1;1;0;0;1;1;0;0;1;0;1;0;1;1;0;0;0;1;0;0;1;1;1;1;0;0;1;1;0;0;0
Lebanon;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0
Luxembourg;1;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0
Malaysia;0;0;1;1;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;1;0;0;1;1;1;0;0;0;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;1;1;1;1;0;0;1;1;0;0;0
Malta;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0
Mauritius;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;1;1;0;0;0
Netherlands;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;0
NewZealand;0;0;1;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;1;1;0;0;0
Norway;0;0;1;1;0;1;1;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;1;1;1;0;0;1;0;1;1;0;1;1;0;1;0;1;0;0;0;1;0;0;0;0;1;1;0;0;1;1;0;1;1;1;0;0;0;1;1;0;0;0
Panama;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;1;1;0;0;0
Philippines;0;0;1;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;1;1;0;1;0;1;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;1;0;0;0
Poland;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;1;1;1;0;1;1;1;1;1;1;0;0;1;0;0;1;1;0;1;0;1;0;0;0;1;0;1;0;0;0;1;0;0;1;1;0;1;1;1;0;0;0;1;1;0;0;0
Portugal;0;0;1;1;0;0;1;0;1;0;1;0;0;1;0;0;0;1;0;1;0;0;1;1;1;1;0;0;0;1;0;0;1;1;0;0;0;1;0;1;0;1;0;1;0;0;1;0;0;0;1;1;0;1;1;1;0;0;0;1;1;0;0;0
Romania;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0
Russian;0;0;1;1;0;0;1;1;0;0;1;0;1;1;0;0;0;1;1;1;0;1;1;1;1;1;1;0;0;1;0;0;1;1;1;1;0;1;1;0;0;1;0;1;0;0;1;0;0;0;1;0;0;1;1;1;1;0;0;1;1;0;0;0
Singapore;0;0;1;1;0;0;1;1;0;0;1;0;0;1;1;0;0;0;0;1;0;0;1;1;1;0;0;0;1;1;0;0;1;1;0;1;0;1;1;0;1;1;0;1;0;1;0;0;0;0;0;0;0;1;1;1;1;0;0;1;1;0;0;0
Slovak;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0
SouthAfrica;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;1;1;0;1;1;0;1;0;1;0;0;1;1;0;1;0;0;0;1;0;0;1;0;0;1;1;1;1;0;0;1;1;0;0;0
Spain;1;0;1;1;0;0;1;1;1;0;1;0;1;1;0;0;0;1;1;1;0;1;1;1;1;1;0;0;0;1;0;1;1;1;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0;0;1;1;0;0;0;1;1;1;0;0
Sweden;0;0;1;1;0;0;1;1;0;0;1;0;1;1;0;0;0;1;1;1;0;1;1;1;1;0;0;0;0;1;1;0;1;1;0;1;0;1;0;0;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;1;1;0;0;1;1;0;0;0
Switzerland;0;0;1;1;1;0;1;1;1;0;1;0;0;1;0;0;0;0;0;1;1;0;1;1;1;1;0;0;0;1;1;1;1;1;0;1;1;1;0;0;0;1;1;1;1;0;0;1;0;0;1;0;1;1;1;0;0;0;0;1;1;0;0;1
Thailand;0;0;1;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;1;0;0;1;1;0;1;0;1;1;0;1;1;0;1;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;1;1;0;0;0
Turkey;0;0;1;1;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;0;0;1;0;0;1;1;1;0;0;0;1;1;0;0;0
Ukraine;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0
UnitedKingdom;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0
UnitedStates;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;0;1;0;1
Uruguay;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
Vanuatu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Venezuela;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;1;0;0;0;1;1;0;0;0
